"Arousal"	"Auditory"	"Motor"	"Postural"	"Visual"
"2"	0.0398802017115548	0.129524922267959	0.684583360167512	0.153000275596489	0.229512674272478
"6"	0.245898772145111	0.13030969509641	0.710910675050895	0.396417655722171	0.116887867269739
"7"	0.127191116830747	0.237852630513997	0.286172964728554	0.086133054454756	0.166339297815953
"13"	0.0557658498800697	0.244890200020828	0.359487714677356	0.0862398121099353	0.138615998428137
"16"	0.071620851363696	0.104234472773971	0.727515295904316	0.0438423854502082	0.06318340400834
"23"	0.0411001715649591	0.173114122504771	0.545160847526983	0.164019669489881	0.0407792306057366
"27"	0.142245230770336	0.000213740659978358	0.387664348294375	0.236337170998379	0.260544126021301
"30"	0.227518977807484	0.199182614520861	0.781534843809361	0.208240817857261	0.210521521123126
"38"	0.240278551298105	0.302021093202006	0.561664095306911	0.434235363175021	0.15298406622632
"42"	0.160861443173402	0.475728167431696	0.595472346234969	0.211584359144742	0.083303227958325
"44"	0.127327012683658	0.0737414389945254	0.589120430583816	0.0520627850436319	0.0490062986532145
"57"	0.207927041539553	0.388069601340773	0.490859600771437	0.210725663178802	0.267116165457529
"58"	0.000293934153150991	0.0397618189882227	0.707740062598065	0.254995918422787	0.265466747468512
"61"	0.232243077916303	0.0565000003158438	0.597628831689005	0.29311207131158	0.0554780743816416
"62"	0.137720189021186	0.190933196667676	0.731325636624504	0.200422647830009	0.107119567648124
"65"	0.0430083979456283	0.192302610272271	0.744885757475837	0.111291251694267	0.103251141486408
"66"	0.00381977797016637	0.261331320866408	0.651955738103179	0.168085620525605	0.11010677520897
"67"	0.111057757034216	0.190525833033694	0.537993625638366	0.16156056859693	0.0230162867591769
"68"	0.159246410385978	0.162707815507935	0.832927692976505	0.188812533293362	0.151730157444049
"71"	0.197622144233867	0.163797961604492	0.538000456479385	0.369321655107592	0.124146155044893
"75"	0.151702888077312	0.286918174679408	0.286617744887358	0.22156819995545	0.160067055377727
"76"	0.119876858248748	0.0337397329852537	0.462852265024645	0.228339723068	0.192142284104939
"79"	0.0335696997728026	0.155157995041716	0.308292787346093	0.272055122699652	0.0705013568662206
"82"	0.0790318385135992	0.135961176215283	0.478039928835939	0.241478086669181	0.190603823716687
"85"	0.139397467273754	-0.00834242978788357	0.465450736857092	0.241927084752788	0.0163258670192688
"94"	0.0941651444145129	0.395299275307776	0.750139037764173	0.160225599901531	0.00681920513660733
"95"	0.0803202501289625	0.215001785925838	0.641829979938336	0.087570852038628	0.0643195907054159
"100"	0.124498665554694	0.281376210587295	0.648792201016196	0.187212310173265	0.0912372744626647
"103"	0.134421502242226	0.179975251308439	0.352750238803502	0.148171426994149	0.0548648299110011
